PLOT,EASTING,NORTHING,long,lat
D109,580338,3396420,-104.16100000000,30.69790000000
D128,578543,3390425,-104.18000000000,30.64390000000
D175,584539,3393419,-104.11800000000,30.67050000000
D183,585737,3392820,-104.10500000000,30.66500000000
D195,577940,3389215,-104.18700000000,30.63300000000
D201,579137,3388625,-104.17400000000,30.62760000000
D206,577336,3390424,-104.19300000000,30.64400000000
D21,583925,3392266,-104.12400000000,30.66010000000
D25,583964,3391622,-104.12400000000,30.65430000000
D26,583376,3391020,-104.13000000000,30.64890000000
D267,588738,3401224,-104.07300000000,30.74060000000
D7,580365,3391595,-104.16100000000,30.65430000000
