plot__,UTM_E,UTM_N,PIPO,NEAR_FID,NEAR_DIST,lat,lon
28.000000,515772.000000,3531203.000000,159.838919,0,38.50497532450,-104.83300000000,31.91830000000
132.000000,518710.000000,3537185.000000,156.211140,29,20.92612022770,-104.80200000000,31.97220000000
148.000000,511504.000000,3534618.000000,126.213804,28,70.67438991650,-104.87800000000,31.94910000000
58.000000,513178.000000,3534066.000000,112.190740,28,42.48421434150,-104.86100000000,31.94410000000
15.000000,515279.000000,3532321.000000,104.777076,5,140.38051578000,-104.83800000000,31.92840000000
14.000000,515272.000000,3532134.000000,82.834881,5,81.02495641360,-104.83800000000,31.92670000000
87.000000,512115.000000,3534328.000000,78.231051,28,155.83539491200,-104.87200000000,31.94650000000
18.000000,514700.000000,3532650.000000,70.104118,26,32.01930513980,-104.84400000000,31.93140000000
1.000000,514801.000000,3532772.000000,69.379040,5,119.45641427300,-104.84300000000,31.93250000000
104.000000,518249.000000,3537544.000000,66.048714,30,158.51959853800,-104.80700000000,31.97550000000
141.000000,511544.000000,3533615.000000,63.748939,23,88.64702530110,-104.87800000000,31.94010000000
49.000000,514442.000000,3535229.000000,58.691224,26,92.07270005460,-104.84700000000,31.95460000000
19.000000,514716.000000,3532414.000000,54.997039,26,58.77083040570,-104.84400000000,31.92920000000
