plot__,UTM_E,UTM_N,QUGA,NEAR_FID,NEAR_DIST,lon,lat
156.000000,512383.000000,3534267.000000,93.659900,28,97.05121278000,-104.86900000000,31.94600000000
153.000000,512701.000000,3534745.000000,90.372375,10,132.29509235000,-104.86600000000,31.95030000000
3.000000,514912.000000,3532137.000000,80.609133,26,71.76041450580,-104.84200000000,31.92670000000
34.000000,515030.000000,3531690.000000,75.926970,26,97.42863349290,-104.84100000000,31.92270000000
141.000000,511544.000000,3533615.000000,68.742193,23,88.64702530110,-104.87800000000,31.94010000000
49.000000,514442.000000,3535229.000000,67.366813,26,92.07270005460,-104.84700000000,31.95460000000
8.000000,516061.000000,3530785.000000,63.723498,0,60.19500568790,-104.83000000000,31.91450000000
51.000000,514377.000000,3535095.000000,63.688957,26,97.20616952400,-104.84800000000,31.95340000000
152.000000,512930.000000,3534820.000000,56.069955,10,71.22315800190,-104.86300000000,31.95100000000
35.000000,514962.000000,3531849.000000,55.860399,26,91.85033667860,-104.84200000000,31.92410000000
2.000000,515001.000000,3532462.000000,54.730252,5,49.41311460890,-104.84100000000,31.92970000000
104.000000,518249.000000,3537544.000000,53.184878,30,158.51959853800,-104.80700000000,31.97550000000
